id,channel_id,episode_id,starting_time,end_time
1,1,1820,2023-05-01 00:00:00,2023-05-01 00:30:00
2,1,1685,2023-05-01 00:30:00,2023-05-01 02:30:00
3,1,1628,2023-05-01 02:30:00,2023-05-01 03:30:00
4,1,1950,2023-05-01 03:30:00,2023-05-01 04:30:00
5,1,1364,2023-05-01 04:30:00,2023-05-01 05:30:00
6,1,433,2023-05-01 05:30:00,2023-05-01 07:30:00
7,1,2389,2023-05-01 07:30:00,2023-05-01 09:30:00
8,1,4179,2023-05-01 09:30:00,2023-05-01 10:00:00
9,1,3202,2023-05-01 10:00:00,2023-05-01 11:00:00
10,1,211,2023-05-01 11:00:00,2023-05-01 12:00:00
11,1,2503,2023-05-01 12:00:00,2023-05-01 13:00:00
12,1,1438,2023-05-01 13:00:00,2023-05-01 13:30:00
13,1,4011,2023-05-01 13:30:00,2023-05-01 14:00:00
14,1,4067,2023-05-01 14:00:00,2023-05-01 15:00:00
15,1,3884,2023-05-01 15:00:00,2023-05-01 15:30:00
16,1,1848,2023-05-01 15:30:00,2023-05-01 17:30:00
17,1,1451,2023-05-01 17:30:00,2023-05-01 18:00:00
18,1,475,2023-05-01 18:00:00,2023-05-01 19:00:00
19,1,4104,2023-05-01 19:00:00,2023-05-01 21:00:00
20,1,483,2023-05-01 21:00:00,2023-05-01 22:00:00
21,1,1142,2023-05-01 22:00:00,2023-05-01 23:00:00
22,2,2167,2023-05-01 00:00:00,2023-05-01 01:00:00
23,2,2072,2023-05-01 01:00:00,2023-05-01 01:30:00
24,2,1749,2023-05-01 01:30:00,2023-05-01 02:00:00
25,2,1979,2023-05-01 02:00:00,2023-05-01 02:30:00
26,2,2221,2023-05-01 02:30:00,2023-05-01 04:30:00
27,2,931,2023-05-01 04:30:00,2023-05-01 05:30:00
28,2,3797,2023-05-01 05:30:00,2023-05-01 06:00:00
29,2,2300,2023-05-01 06:00:00,2023-05-01 07:00:00
30,2,3842,2023-05-01 07:00:00,2023-05-01 08:00:00
31,2,159,2023-05-01 08:00:00,2023-05-01 10:00:00
32,2,320,2023-05-01 10:00:00,2023-05-01 11:00:00
33,2,1921,2023-05-01 11:00:00,2023-05-01 13:00:00
34,2,202,2023-05-01 13:00:00,2023-05-01 13:30:00
35,2,220,2023-05-01 13:30:00,2023-05-01 15:30:00
36,2,2770,2023-05-01 15:30:00,2023-05-01 16:00:00
37,2,1569,2023-05-01 16:00:00,2023-05-01 16:30:00
38,2,3295,2023-05-01 16:30:00,2023-05-01 18:30:00
39,2,2351,2023-05-01 18:30:00,2023-05-01 20:30:00
40,2,375,2023-05-01 20:30:00,2023-05-01 22:30:00
41,2,723,2023-05-01 22:30:00,2023-05-01 23:00:00
42,3,3454,2023-05-01 00:00:00,2023-05-01 00:30:00
43,3,1677,2023-05-01 00:30:00,2023-05-01 02:30:00
44,3,1322,2023-05-01 02:30:00,2023-05-01 03:30:00
45,3,1074,2023-05-01 03:30:00,2023-05-01 05:30:00
46,3,2882,2023-05-01 05:30:00,2023-05-01 06:30:00
47,3,2301,2023-05-01 06:30:00,2023-05-01 07:30:00
48,3,193,2023-05-01 07:30:00,2023-05-01 08:00:00
49,3,3289,2023-05-01 08:00:00,2023-05-01 10:00:00
50,3,3699,2023-05-01 10:00:00,2023-05-01 11:00:00
51,3,640,2023-05-01 11:00:00,2023-05-01 11:30:00
52,3,833,2023-05-01 11:30:00,2023-05-01 12:00:00
53,3,1505,2023-05-01 12:00:00,2023-05-01 12:30:00
54,3,1273,2023-05-01 12:30:00,2023-05-01 13:30:00
55,3,2392,2023-05-01 13:30:00,2023-05-01 15:30:00
56,3,894,2023-05-01 15:30:00,2023-05-01 16:30:00
57,3,3322,2023-05-01 16:30:00,2023-05-01 18:30:00
58,3,3596,2023-05-01 18:30:00,2023-05-01 20:30:00
59,3,2568,2023-05-01 20:30:00,2023-05-01 22:30:00
60,3,3496,2023-05-01 22:30:00,2023-05-01 23:30:00
61,4,1590,2023-05-01 00:00:00,2023-05-01 02:00:00
62,4,3368,2023-05-01 02:00:00,2023-05-01 02:30:00
63,4,4129,2023-05-01 02:30:00,2023-05-01 03:00:00
64,4,329,2023-05-01 03:00:00,2023-05-01 03:30:00
65,4,362,2023-05-01 03:30:00,2023-05-01 05:30:00
66,4,671,2023-05-01 05:30:00,2023-05-01 06:00:00
67,4,2461,2023-05-01 06:00:00,2023-05-01 06:30:00
68,4,3447,2023-05-01 06:30:00,2023-05-01 08:30:00
69,4,3512,2023-05-01 08:30:00,2023-05-01 09:00:00
70,4,140,2023-05-01 09:00:00,2023-05-01 11:00:00
71,4,1470,2023-05-01 11:00:00,2023-05-01 12:00:00
72,4,1634,2023-05-01 12:00:00,2023-05-01 13:00:00
73,4,4246,2023-05-01 13:00:00,2023-05-01 13:30:00
74,4,779,2023-05-01 13:30:00,2023-05-01 15:30:00
75,4,1829,2023-05-01 15:30:00,2023-05-01 16:00:00
76,4,181,2023-05-01 16:00:00,2023-05-01 16:30:00
77,4,1417,2023-05-01 16:30:00,2023-05-01 17:30:00
78,4,2377,2023-05-01 17:30:00,2023-05-01 18:00:00
79,4,1093,2023-05-01 18:00:00,2023-05-01 18:30:00
80,4,1502,2023-05-01 18:30:00,2023-05-01 19:00:00
81,4,2215,2023-05-01 19:00:00,2023-05-01 19:30:00
82,4,3319,2023-05-01 19:30:00,2023-05-01 21:30:00
83,4,2510,2023-05-01 21:30:00,2023-05-01 22:30:00
84,4,1895,2023-05-01 22:30:00,2023-05-01 23:00:00
85,5,2905,2023-05-01 00:00:00,2023-05-01 00:30:00
86,5,1526,2023-05-01 00:30:00,2023-05-01 01:00:00
87,5,2144,2023-05-01 01:00:00,2023-05-01 02:00:00
88,5,3031,2023-05-01 02:00:00,2023-05-01 03:00:00
89,5,4209,2023-05-01 03:00:00,2023-05-01 05:00:00
90,5,4237,2023-05-01 05:00:00,2023-05-01 06:00:00
91,5,3584,2023-05-01 06:00:00,2023-05-01 07:00:00
92,5,280,2023-05-01 07:00:00,2023-05-01 09:00:00
93,5,2734,2023-05-01 09:00:00,2023-05-01 09:30:00
94,5,2492,2023-05-01 09:30:00,2023-05-01 10:00:00
95,5,3828,2023-05-01 10:00:00,2023-05-01 10:30:00
96,5,41,2023-05-01 10:30:00,2023-05-01 12:30:00
97,5,3190,2023-05-01 12:30:00,2023-05-01 14:30:00
98,5,572,2023-05-01 14:30:00,2023-05-01 15:30:00
99,5,1311,2023-05-01 15:30:00,2023-05-01 16:30:00
100,5,847,2023-05-01 16:30:00,2023-05-01 17:00:00
101,5,3516,2023-05-01 17:00:00,2023-05-01 17:30:00
102,5,3580,2023-05-01 17:30:00,2023-05-01 18:30:00
103,5,3771,2023-05-01 18:30:00,2023-05-01 19:30:00
104,5,1218,2023-05-01 19:30:00,2023-05-01 20:00:00
105,5,380,2023-05-01 20:00:00,2023-05-01 20:30:00
106,5,2368,2023-05-01 20:30:00,2023-05-01 21:00:00
107,5,1415,2023-05-01 21:00:00,2023-05-01 22:00:00
108,5,1308,2023-05-01 22:00:00,2023-05-01 23:00:00
109,5,3608,2023-05-01 23:00:00,2023-05-01 23:30:00
110,6,9,2023-05-01 00:00:00,2023-05-01 00:30:00
111,6,1686,2023-05-01 00:30:00,2023-05-01 02:30:00
112,6,740,2023-05-01 02:30:00,2023-05-01 03:00:00
113,6,4166,2023-05-01 03:00:00,2023-05-01 05:00:00
114,6,3449,2023-05-01 05:00:00,2023-05-01 07:00:00
115,6,2612,2023-05-01 07:00:00,2023-05-01 09:00:00
116,6,1146,2023-05-01 09:00:00,2023-05-01 10:00:00
117,6,1861,2023-05-01 10:00:00,2023-05-01 11:00:00
118,6,3631,2023-05-01 11:00:00,2023-05-01 11:30:00
119,6,3173,2023-05-01 11:30:00,2023-05-01 13:30:00
120,6,2719,2023-05-01 13:30:00,2023-05-01 14:30:00
121,6,3020,2023-05-01 14:30:00,2023-05-01 16:30:00
122,6,827,2023-05-01 16:30:00,2023-05-01 17:30:00
123,6,3564,2023-05-01 17:30:00,2023-05-01 18:30:00
124,6,3721,2023-05-01 18:30:00,2023-05-01 19:30:00
125,6,3631,2023-05-01 19:30:00,2023-05-01 20:00:00
126,6,4163,2023-05-01 20:00:00,2023-05-01 22:00:00
127,6,356,2023-05-01 22:00:00,2023-05-01 23:00:00
128,7,2930,2023-05-01 00:00:00,2023-05-01 00:30:00
129,7,3194,2023-05-01 00:30:00,2023-05-01 02:30:00
130,7,98,2023-05-01 02:30:00,2023-05-01 03:30:00
131,7,2893,2023-05-01 03:30:00,2023-05-01 05:30:00
132,7,2661,2023-05-01 05:30:00,2023-05-01 07:30:00
133,7,2968,2023-05-01 07:30:00,2023-05-01 09:30:00
134,7,2286,2023-05-01 09:30:00,2023-05-01 11:30:00
135,7,2274,2023-05-01 11:30:00,2023-05-01 13:30:00
136,7,2524,2023-05-01 13:30:00,2023-05-01 14:30:00
137,7,4098,2023-05-01 14:30:00,2023-05-01 15:00:00
138,7,3426,2023-05-01 15:00:00,2023-05-01 16:00:00
139,7,1586,2023-05-01 16:00:00,2023-05-01 17:00:00
140,7,3552,2023-05-01 17:00:00,2023-05-01 17:30:00
141,7,610,2023-05-01 17:30:00,2023-05-01 18:00:00
142,7,3953,2023-05-01 18:00:00,2023-05-01 18:30:00
143,7,1102,2023-05-01 18:30:00,2023-05-01 19:00:00
144,7,128,2023-05-01 19:00:00,2023-05-01 19:30:00
145,7,2949,2023-05-01 19:30:00,2023-05-01 20:00:00
146,7,2902,2023-05-01 20:00:00,2023-05-01 20:30:00
147,7,421,2023-05-01 20:30:00,2023-05-01 22:30:00
148,7,294,2023-05-01 22:30:00,2023-05-01 23:30:00
149,8,816,2023-05-01 00:00:00,2023-05-01 00:30:00
150,8,3191,2023-05-01 00:30:00,2023-05-01 02:30:00
151,8,1772,2023-05-01 02:30:00,2023-05-01 03:30:00
152,8,1968,2023-05-01 03:30:00,2023-05-01 04:30:00
153,8,2624,2023-05-01 04:30:00,2023-05-01 06:30:00
154,8,554,2023-05-01 06:30:00,2023-05-01 07:00:00
155,8,91,2023-05-01 07:00:00,2023-05-01 08:00:00
156,8,1176,2023-05-01 08:00:00,2023-05-01 09:00:00
157,8,2098,2023-05-01 09:00:00,2023-05-01 09:30:00
158,8,2091,2023-05-01 09:30:00,2023-05-01 10:00:00
159,8,124,2023-05-01 10:00:00,2023-05-01 10:30:00
160,8,3441,2023-05-01 10:30:00,2023-05-01 12:30:00
161,8,2860,2023-05-01 12:30:00,2023-05-01 13:00:00
162,8,166,2023-05-01 13:00:00,2023-05-01 13:30:00
163,8,995,2023-05-01 13:30:00,2023-05-01 14:30:00
164,8,976,2023-05-01 14:30:00,2023-05-01 16:30:00
165,8,192,2023-05-01 16:30:00,2023-05-01 17:00:00
166,8,1147,2023-05-01 17:00:00,2023-05-01 18:00:00
167,8,4039,2023-05-01 18:00:00,2023-05-01 19:00:00
168,8,4279,2023-05-01 19:00:00,2023-05-01 20:00:00
169,8,291,2023-05-01 20:00:00,2023-05-01 21:00:00
